Year,Quarter,cityname,origin,TOT_CountofMkts,TOT_FaredPax,TOT_PctLFMkts,TOT_AvgHubFare,TOT_PctPremium,SH_CountofMkts,SH_FaredPax,SH_PctLFMkts,SH_AvgHubFare,SH_PctPremium,LH_CountofMkts,LH_FaredPax,LH_PctLFMkts,LH_AvgHubFare,LH_PctPremium
2008,2,"Pensacola, Florida",PNS,50,308520,0.7756709452,205.86310482,1.7960357349,20,119520,0.7147757697,197.28635291,0.1694666132,30,189000,0.8141798942,211.28687937,2.7815332881
2008,2,"Indio/Palm Springs, California",PSP,37,199110,0,220.12769323,2.7735620599,5,52530,0,138.70095755,-18.59942564,32,146580,0,249.30866216,8.4509131813
2008,2,"Providence, Rhode Island",PVD,76,1082960,0.8268449435,181.77072957,-0.558327815,21,380130,0.7626864494,157.98149765,9.2437484798,55,702830,0.8615454662,194.63728441,-4.326871092
2008,2,"Portland, Maine",PWM,53,353030,0.5986176812,206.08044699,3.856194458,16,136930,0.5092382969,183.76422333,12.831212893,37,216100,0.6552521981,220.22093984,-0.335529264
2008,2,"Raleigh/Durham, North Carolina",RDU,101,2029830,0.6847667046,174.67532685,-4.165488649,58,1391830,0.6742561951,153.29797253,-4.564588031,43,638000,0.7076959248,221.31113103,-3.55602858
2008,2,"Richmond, Virginia",RIC,70,674500,0.5559229059,202.32437168,1.7569464868,34,408350,0.571862373,177.48890707,0.125569821,36,266150,0.5314672177,240.42905692,3.6701147877
2008,2,"Reno, Nevada",RNO,64,819250,0.8703692402,154.35730339,-15.77579179,17,529100,0.9696087696,113.18835381,-24.72239886,47,290150,0.6894020334,229.43051111,-5.692441553
2008,2,"Rochester, New York",ROC,60,535340,0.6181305339,185.68239343,4.293844259,28,267070,0.5575691766,177.17012581,29.229612944,32,268270,0.6784209938,194.15658478,-11.26102885
2008,2,"Ft. Myers, Florida",RSW,85,1571360,0.8415067203,165.92410982,-14.94645271,10,100780,0.9537606668,171.38280611,-5.96034091,75,1470580,0.8338138694,165.55002108,-15.51917309
2008,2,"San Diego, California",SAN,125,3713380,0.8526975424,178.21309481,-7.657520998,16,1496780,0.9878405644,107.0590386,-21.234636,109,2216600,0.7614409456,226.26054056,-2.275297468
2008,2,"San Antonio, Texas",SAT,107,1670850,0.7091959182,185.96354574,-2.983005224,27,468710,0.7869258177,136.14665635,-19.95156426,80,1202140,0.6788893141,205.38696916,2.6403223958
2008,2,"Savannah, Georgia",SAV,59,400000,0.324925,208.40031075,2.0333698864,28,226070,0.3375945504,188.7519432,-3.449882803,31,173930,0.3084574254,233.93878284,8.4951697276
2008,2,"Louisville, Kentucky",SDF,77,807640,0.737556337,192.78079095,-4.175500934,44,521280,0.6550414365,180.66190051,-2.761948276,33,286360,0.8877636541,214.84160672,-6.261436686
2008,2,"Seattle, Washington",SEA,151,4671280,0.614681629,190.63747763,-8.433242782,29,1159260,0.6556596449,124.59995834,-23.77549746,122,3512020,0.6011554604,212.43537588,-4.720374357
2008,2,"Sanford, Florida",SFB,28,297120,0,92.786792542,-51.65364268,10,133350,0,72.639531309,-61.17529043,18,163770,0,109.19173414,-44.24714389
2008,2,"San Francisco, California",SFO,134,4560440,0.5849216304,224.97330801,6.0016741809,22,1668860,0.7305346164,120.77163549,-15.04551998,112,2891580,0.5008818708,285.11274846,12.835881541
2008,2,"San Jose, California",SJC,82,2136090,0.8677490181,159.38475364,-8.566851562,16,1317320,0.9980262958,114.99955045,-12.91836453,66,818770,0.6581457552,230.79615838,-4.751186822
2008,2,"Salt Lake City, Utah",SLC,113,2179290,0.8200927825,177.65438528,-5.164203023,38,1270990,0.9302590894,127.04874122,-18.64169511,75,908300,0.6659363646,248.46718672,7.5879984361
2008,2,"Sacramento, California",SMF,86,2136950,0.9189592644,156.88887611,-12.19147946,15,1381120,0.9933097776,112.82708505,-21.03024675,71,755830,0.7830993742,237.40251128,-2.737571353
2008,2,"Santa Ana, California",SNA,89,1931030,0.547982165,180.06493472,1.422342641,13,897730,0.9042919363,118.91379591,-8.091115925,76,1033300,0.2384205942,233.19298258,6.2969285455
2008,2,"Sarasota/Bradenton, Florida",SRQ,49,302080,0.7273900953,172.72158865,-11.70288327,5,39090,0.9534407777,164.05548478,-10.00578158,44,262990,0.6937906384,174.00969086,-11.93560522
2008,2,"St. Louis, Missouri",STL,116,2369800,0.7066334712,176.5552577,0.9023031992,57,1139890,0.6495714499,152.0191143,-4.587178428,59,1229910,0.7595189892,199.29554317,5.1803900394
2008,2,"Newburgh, New York",SWF,14,177400,0.9801578354,142.87336189,-24.78651427,4,8690,0.5949367089,194.63917146,-16.3548913,10,168710,1,140.2069824,-25.32476765
2008,2,"Syracuse, New York",SYR,60,418830,0.4621684216,217.11607382,10.297156402,27,166520,0.3674633678,210.84836176,27.663553047,33,252310,0.5246720304,221.25264952,1.6041882464
2008,2,"Tampa, Florida",TPA,139,3747960,0.8687526014,157.37163444,-14.23435768,39,713860,0.8797663407,147.32718544,-13.81724514,100,3034100,0.8661612999,159.7348823,-14.32433988
2008,2,"Tulsa, Oklahoma",TUL,72,630770,0.7494332324,181.49878878,-8.124614921,28,331100,0.6925400181,155.78432649,-11.78027194,44,299670,0.8122935229,209.91023626,-4.893010299
2008,2,"Tucson, Arizona",TUS,78,798720,0.7547826522,184.81847644,-8.054625432,14,316610,0.9931461419,120.70123812,-22.26648373,64,482110,0.5982452137,226.92537906,-1.782132218
